id,ans
1,4
2,2
3,3
4,4
5,2
6,5
7,2
8,0
9,1
10,0
11,1
12,3
13,3
14,2
15,2
16,0
17,2
18,0
19,1
20,5
21,0
22,3
23,5
24,4
25,4
26,5
27,5
28,3
29,0
30,0
31,5
32,4
33,3
34,1
35,4
36,1
37,1
38,0
39,4
40,1
41,4
42,2
43,4
44,5
45,4
46,2
47,4
48,3
49,1
50,3
51,2
52,3
53,5
54,1
55,2
56,4
57,2
58,3
59,1
60,0
61,0
62,3
63,2
64,4
65,0
66,0
67,2
68,2
69,3
70,1
71,1
72,1
73,0
74,3
75,2
76,4
77,2
78,1
79,1
80,0
81,1
82,4
83,1
84,5
85,1
86,0
87,0
88,0
89,4
90,4
91,0
92,1
93,0
94,3
95,4
96,0
97,1
98,2
99,5
100,5
101,0
102,2
103,3
104,2
105,0
106,0
107,1
108,2
109,0
110,5
111,5
112,5
113,0
114,3
115,5
116,0
117,1
118,4
119,0
120,1
121,1
122,2
123,3
124,4
125,1
126,0
127,2
128,0
129,0
130,1
131,1
132,2
133,4
134,5
135,0
136,3
137,2
138,2
139,1
140,0
141,2
142,4
143,0
144,5
145,4
146,2
147,4
148,5
149,0
150,4
151,0
152,0
153,4
154,5
155,0
156,5
157,0
158,5
159,0
160,2
161,3
162,0
163,5
164,4
165,3
166,2
167,1
168,1
169,0
170,0
171,0
172,5
173,0
174,4
175,0
176,0
177,0
178,5
179,4
180,3
181,5
182,2
183,3
184,2
185,5
186,1
187,0
188,5
189,3
190,4
191,0
192,1
193,0
194,3
195,1
196,0
197,0
198,0
199,0
200,3
201,2
202,2
203,3
204,5
205,5
206,0
207,4
208,0
209,0
210,0
211,0
212,4
213,5
214,3
215,5
216,0
217,4
218,2
219,2
220,4
221,0
222,1
223,1
224,2
225,4
226,5
227,1
228,5
229,1
230,1
231,2
232,1
233,0
234,5
235,3
236,5
237,4
238,5
239,0
240,5
241,1
242,0
243,5
244,3
245,1
246,0
247,1
248,2
249,0
250,0
251,2
252,2
253,3
254,5
255,0
256,0
257,1
258,1
259,1
260,1
261,4
262,2
263,3
264,3
265,1
266,0
267,4
268,0
269,3
270,4
271,4
272,1
273,1
274,1
275,4
276,5
277,1
278,2
279,3
280,2
281,0
282,0
283,1
284,3
285,2
286,5
287,3
288,3
289,4
290,3
291,5
292,2
293,4
294,2
295,3
296,2
297,2
298,2
299,1
300,3
301,3
302,1
303,1
304,2
305,3
306,2
307,2
308,4
309,1
310,2
311,4
312,1
313,2
314,0
315,5
316,2
317,0
318,2
319,0
320,0
321,4
322,0
323,2
324,3
325,0
326,2
327,0
328,1
329,0
330,1
331,3
332,0
333,0
334,3
335,0
336,5
337,5
338,2
339,1
340,4
341,5
342,4
343,3
344,0
345,2
346,2
347,4
348,2
349,1
350,4
351,2
352,2
353,3
354,4
355,0
356,4
357,2
358,5
359,4
360,1
361,0
362,4
363,5
364,0
365,5
366,2
367,2
368,5
369,0
370,2
371,1
372,5
373,0
374,3
375,3
376,3
377,1
378,0
379,0
380,2
381,5
382,0
383,5
384,2
385,1
386,4
387,0
388,3
389,5
390,1
391,0
392,4
393,3
394,5
395,4
396,5
397,5
398,2
399,1
400,0
401,0
402,2
403,5
404,3
405,0
406,0
407,2
408,2
409,2
410,2
411,5
412,0
413,5
414,2
415,1
416,4
417,1
418,5
419,1
420,5
421,2
422,1
423,5
424,1
425,4
426,1
427,5
428,2
